Question,Option A,Option B,Option C,Option D,Correct Option,Subject,Chapter,Year
Which of the following is not a part of male reproductive system?,Testis,Vas deferens,Seminal vesicle,Fallopian tube,D,Biology,Reproduction,2016
Which hormone helps in milk production?,Progesterone,Oxytocin,Prolactin,LH,C,Biology,Reproduction,2016
What is the primary function of alveoli?,Digest food,Filter blood,Exchange gases,Secrete enzymes,C,Biology,Breathing,2016
Which enzyme digests fat?,Pepsin,Lipase,Amylase,Trypsin,B,Biology,Digestive System,2016
Which of these is not a WBC?,Neutrophil,Monocyte,Erythrocyte,Lymphocyte,C,Biology,Body Fluids,2016
What is the function of Bowman's capsule?,Reabsorption,Secretion,Filtration,Excretion,C,Biology,Excretory System,2016
Which gland secretes melatonin?,Thyroid,Pineal,Pituitary,Adrenal,B,Biology,Chemical Coordination,2016
Where is ADH secreted from?,Thyroid,Pancreas,Pituitary,Adrenal,C,Biology,Chemical Coordination,2016
Which structure connects muscles to bones?,Ligament,Tendon,Cartilage,Capsule,B,Biology,Locomotion,2016
Which chamber of the heart pumps blood to lungs?,Left atrium,Left ventricle,Right atrium,Right ventricle,D,Biology,Body Fluids,2016
Which blood component is involved in clotting?,RBC,WBC,Platelet,Plasma,C,Biology,Body Fluids,2016
Which hormone is produced by pancreas?,Thyroxine,Insulin,Testosterone,Adrenaline,B,Biology,Chemical Coordination,2016
Which cell is responsible for humoral immunity?,T cells,B cells,Monocytes,Neutrophils,B,Biology,Immune System,2016
Which part of nephron is involved in filtration?,PCT,Loop of Henle,Bowman's capsule,Collecting duct,C,Biology,Excretory System,2016
Which hormone regulates blood sugar?,Thyroxine,Insulin,Estrogen,Adrenaline,B,Biology,Chemical Coordination,2016
Which is the site of fertilization?,Ovary,Uterus,Fallopian tube,Cervix,C,Biology,Reproduction,2016
What is the function of osteocytes?,Transport oxygen,Produce antibodies,Bone maintenance,Muscle contraction,C,Biology,Locomotion,2016
Which blood vessel carries deoxygenated blood to lungs?,Pulmonary artery,Pulmonary vein,Aorta,Renal vein,A,Biology,Body Fluids,2016
Which gland secretes cortisol?,Thyroid,Pancreas,Adrenal,Pituitary,C,Biology,Chemical Coordination,2016
Which part of brain controls heartbeat?,Cerebrum,Cerebellum,Medulla,Thalamus,C,Biology,Neural Control,2016
Which muscle type is multinucleated?,Cardiac,Smooth,Skeletal,Involuntary,C,Biology,Locomotion,2016
Which organ produces bile?,Pancreas,Liver,Gallbladder,Stomach,B,Biology,Digestive System,2016
Which cells form myelin sheath in CNS?,Astrocytes,Microglia,Schwann cells,Oligodendrocytes,D,Biology,Neural Control,2016
Which hormone triggers ovulation?,FSH,LH,Estrogen,Progesterone,B,Biology,Reproduction,2016
Which immune cell activates other immune cells?,T helper cells,B cells,Neutrophils,Basophils,A,Biology,Immune System,2016
Which part of neuron receives impulses?,Axon,Dendrite,Cell body,Myelin,B,Biology,Neural Control,2016
Which organ excretes nitrogenous waste?,Liver,Heart,Kidney,Lungs,C,Biology,Excretory System,2016
Which vitamin is stored in liver?,Vitamin C,Vitamin B12,Vitamin K,Vitamin B1,B,Biology,Digestion,2016
Which disease is genetic?,Tuberculosis,HIV,Down syndrome,Malaria,C,Biology,Genetics,2016
Which WBC is largest in size?,Neutrophil,Lymphocyte,Monocyte,Basophil,C,Biology,Body Fluids,2016
Which organ absorbs nutrients?,Stomach,Large intestine,Small intestine,Esophagus,C,Biology,Digestive System,2016
Which gland produces adrenaline?,Pituitary,Pancreas,Adrenal,Thyroid,C,Biology,Chemical Coordination,2016
Which hormone maintains pregnancy?,LH,FSH,Estrogen,Progesterone,D,Biology,Reproduction,2016
Which valve is between left atrium and left ventricle?,Tricuspid,Mitral,Pulmonary,Aortic,B,Biology,Body Fluids,2016
What is the function of cerebellum?,Breathing,Balance,Memory,Digestion,B,Biology,Neural Control,2016
What is the genetic material in viruses?,Only DNA,Only RNA,Both DNA and RNA,Either DNA or RNA,D,Biology,Genetics,2016
Which hormone is involved in fight or flight?,Insulin,Adrenaline,Estrogen,FSH,B,Biology,Chemical Coordination,2016
Which system controls reflex action?,Respiratory,Circulatory,Nervous,Excretory,C,Biology,Neural Control,2016
Which gland is called master gland?,Adrenal,Thyroid,Pancreas,Pituitary,D,Biology,Chemical Coordination,2016
