Question,Option A,Option B,Option C,Option D,Correct Option,Subject,Chapter,Year
Which organelle is responsible for protein synthesis?,Mitochondria,Ribosome,Golgi body,Lysosome,B,Biology,Cell,2017
Which blood group is a universal donor?,A,B,AB,O,D,Biology,Body Fluids,2017
What is the function of pepsin?,Digests fats,Digests starch,Digests protein,Emulsifies fat,C,Biology,Digestive System,2017
Which hormone is produced during stress?,Insulin,Adrenaline,Thyroxine,Glucagon,B,Biology,Chemical Coordination,2017
Which part of the nephron absorbs glucose?,PCT,DCT,Loop of Henle,Collecting duct,A,Biology,Excretory System,2017
What is the function of testosterone?,Sperm production,Egg maturation,Menstrual cycle regulation,Lactation,A,Biology,Reproduction,2017
Which blood vessel carries oxygenated blood to the heart?,Pulmonary vein,Pulmonary artery,Aorta,Vena cava,A,Biology,Body Fluids,2017
Which type of muscle is involuntary and striated?,Skeletal,Smooth,Cardiac,All,C,Biology,Locomotion,2017
Which gland controls metabolism?,Pituitary,Thyroid,Adrenal,Pineal,B,Biology,Chemical Coordination,2017
Which part of the brain controls breathing?,Cerebrum,Cerebellum,Medulla,Thalamus,C,Biology,Neural Control,2017
Which of these is a genetic disorder?,Malaria,AIDS,Sickle cell anemia,Tuberculosis,C,Biology,Genetics,2017
Which organ produces insulin?,Liver,Pancreas,Stomach,Gallbladder,B,Biology,Chemical Coordination,2017
Which WBCs are responsible for antibody production?,Neutrophils,Basophils,B-lymphocytes,T-lymphocytes,C,Biology,Immune System,2017
Which enzyme is present in saliva?,Pepsin,Amylase,Lipase,Trypsin,B,Biology,Digestive System,2017
What is the function of cilia in respiratory tract?,Digestion,Movement of air,Secretion,Filtration,D,Biology,Breathing,2017
What is the genetic material in retrovirus?,DNA,mRNA,ssRNA,dsDNA,C,Biology,Biomolecules,2017
Which structure stores sperm temporarily?,Seminal vesicle,Vas deferens,Prostate,Epididymis,D,Biology,Reproduction,2017
Which cell organelle helps in detoxification?,Golgi body,Lysosome,Smooth ER,Rough ER,C,Biology,Cell,2017
Which part of the digestive system absorbs water?,Small intestine,Stomach,Colon,Esophagus,C,Biology,Digestive System,2017
What is the shape of RBC?,Oval,Spherical,Biconcave,Cylindrical,C,Biology,Body Fluids,2017
Which organ controls voluntary actions?,Spinal cord,Cerebellum,Cerebrum,Medulla,C,Biology,Neural Control,2017
Which gland secretes growth hormone?,Thyroid,Adrenal,Pituitary,Pancreas,C,Biology,Chemical Coordination,2017
Which hormone regulates menstrual cycle?,Progesterone,Testosterone,Insulin,Thyroxine,A,Biology,Reproduction,2017
Which is the main nitrogenous waste in humans?,Ammonia,Urea,Uric acid,Creatinine,B,Biology,Excretory System,2017
Which part of brain regulates hunger?,Pons,Cerebellum,Hypothalamus,Thalamus,C,Biology,Neural Control,2017
Which component initiates blood clotting?,Fibrin,Thrombin,Platelets,WBCs,C,Biology,Body Fluids,2017
Which of these is part of adaptive immunity?,Skin,Mucus,B cells,Hair,C,Biology,Immune System,2017
Which enzyme acts in acidic pH?,Lipase,Trypsin,Amylase,Pepsin,D,Biology,Digestive System,2017
Where does fertilization usually occur in humans?,Ovary,Vagina,Fallopian tube,Uterus,C,Biology,Reproduction,2017
Which structure in sperm contains enzymes?,Tail,Head,Acrosome,Middle piece,C,Biology,Reproduction,2017
What is the role of hemoglobin?,Clotting,Transport oxygen,Produce RBC,Store iron,B,Biology,Body Fluids,2017
What is the function of loop of Henle?,Reabsorption,Filtration,Secretion,All,A,Biology,Excretory System,2017
Which immune cell destroys cancer cells?,B cells,Neutrophils,Natural killer cells,Basophils,C,Biology,Immune System,2017
Which hormone promotes milk ejection?,Prolactin,Oxytocin,Estrogen,FSH,B,Biology,Reproduction,2017
What is the function of bile?,Digests protein,Emulsifies fat,Absorbs nutrients,Digests carbohydrates,B,Biology,Digestive System,2017
Which cells protect the body against pathogens?,RBCs,WBCs,Platelets,Neurons,B,Biology,Immune System,2017
What is the term for muscle connection to bone?,Joint,Tendon,Ligament,Cartilage,B,Biology,Locomotion,2017
What is the role of cerebellum?,Speech,Memory,Balance and posture,Vision,C,Biology,Neural Control,2017
What is the function of thymus?,Produces insulin,Produces bile,Matures T-cells,Stores calcium,C,Biology,Immune System,2017
What is the respiratory pigment in humans?,Chlorophyll,Myoglobin,Haemoglobin,Cytochrome,C,Biology,Breathing,2017
