Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topic,Year
Which of the following is the functional unit of the kidney?,Neuron,Nephron,Ureter,Alveoli,B,Biology,Excretory System,2021
Which hormone is responsible for the 'fight or flight' response?,Insulin,Thyroxine,Adrenaline,Estrogen,C,Biology,Chemical Coordination,2021
What is the primary function of hemoglobin?,Transport of oxygen,Blood clotting,Immune response,Hormone transport,A,Biology,Body Fluids,2021
Which part of the brain is responsible for regulating body temperature?,Cerebrum,Cerebellum,Hypothalamus,Medulla oblongata,C,Biology,Neural Control,2021
Which gland is known as the 'master gland'?,Thyroid,Adrenal,Pituitary,Pineal,C,Biology,Chemical Coordination,2021
Which blood group is known as the universal donor?,A,B,AB,O,D,Biology,Body Fluids,2021
What is the role of bile in digestion?,Emulsification of fats,Protein digestion,Carbohydrate digestion,Vitamin absorption,A,Biology,Digestive System,2021
Which of the following is not a component of the axial skeleton?,Skull,Vertebral column,Ribs,Pelvic girdle,D,Biology,Locomotion,2021
Which hormone regulates calcium levels in the blood?,Insulin,Thyroxine,Parathyroid hormone,Adrenaline,C,Biology,Chemical Coordination,2021
Which part of the ear is involved in maintaining balance?,Cochlea,Eustachian tube,Vestibular apparatus,Tympanic membrane,C,Biology,Neural Control,2021
Which of the following is not a granulocyte?,Neutrophil,Eosinophil,Basophil,Lymphocyte,D,Biology,Body Fluids,2021
Which vitamin is essential for blood clotting?,Vitamin A,Vitamin B12,Vitamin C,Vitamin K,D,Biology,Body Fluids,2021
Which of the following is not a part of the nephron?,Glomerulus,Bowman's capsule,Loop of Henle,Ureter,D,Biology,Excretory System,2021
Which hormone is responsible for milk ejection during lactation?,Prolactin,Oxytocin,Estrogen,Progesterone,B,Biology,Reproduction,2021
Which of the following is not a sexually transmitted disease?,AIDS,Syphilis,Gonorrhea,Tuberculosis,D,Biology,Reproductive Health,2021
Which process involves the formation of blood cells?,Hemolysis,Hemopoiesis,Hematuria,Hemostasis,B,Biology,Body Fluids,2021
Which part of the brain controls voluntary movements?,Cerebrum,Cerebellum,Hypothalamus,Medulla oblongata,A,Biology,Neural Control,2021
Which hormone is responsible for the development of secondary sexual characteristics in males?,Estrogen,Progesterone,Testosterone,FSH,C,Biology,Reproduction,2021
Which of the following is not a function of the liver?,Bile production,Detoxification,Glycogen storage,Insulin production,D,Biology,Digestive System,2021
Which antibody is present in colostrum?,IgA,IgG,IgM,IgE,A,Biology,Immune System,2021
Which of the following is not a part of the female reproductive system?,Ovary,Uterus,Vas deferens,Fallopian tube,C,Biology,Reproduction,2021
Which hormone is responsible for ovulation?,FSH,LH,Progesterone,Prolactin,B,Biology,Reproduction,2021
Which of the following is not a lymphoid organ?,Thymus,Spleen,Liver,Tonsils,C,Biology,Immune System,2021
Which part of the sperm contains mitochondria?,Head,Neck,Middle piece,Tail,C,Biology,Reproduction,2021
Which of the following is not a male accessory gland?,Prostate,Seminal vesicle,Bulbourethral gland,Corpus luteum,D,Biology,Reproduction,2021
Which hormone is responsible for milk production?,Oxytocin,Prolactin,Estrogen,Progesterone,B,Biology,Reproduction,2021
Which of the following is not a part of the brain stem?,Midbrain,Pons,Medulla,Cerebellum,D,Biology,Neural Control,2021
Which of the following is not a method of contraception?,Condom,IUD,Vasectomy,Dialysis,D,Biology,Reproduction,2021
Which hormone is responsible for the maintenance of pregnancy?,FSH,LH,Progesterone,Prolactin,C,Biology,Reproduction,2021
Which process involves the formation of sperm?,Oogenesis,Spermatogenesis,Spermiogenesis,Gametogenesis,B,Biology,Reproduction,2021
Which of the following is not a part of the sperm?,Head,Neck,Middle piece,Flagellum,D,Biology,Reproduction,2021
Which of the following is not a part of the axial skeleton?,Skull,Vertebral column,Ribs,Pelvic girdle,D,Biology,Locomotion,2021
